Headline,Link
2Suspect in custody and named as Tyler Robinson - what we know so far,https://www.bbc.com/news/articles/cy04p4x21e5o
3The wedding crasher mystery solved after four years,https://www.bbc.com/news/articles/c7v1d3r6y8mo
4'We have him' - Charlie Kirk murder suspect caught with help of family member,https://www.bbc.com/news/articles/c784end1wxvo
"5North Korea executing more people for watching foreign films and TV, UN finds",https://www.bbc.com/news/articles/ckgqdz17ye3o
6US joins UN Security Council condemnation of Israeli strikes on Qatar,https://www.bbc.com/news/articles/c740kk7vxkdo
7Nepal to get first female PM after deadly unrest,https://www.bbc.com/news/articles/c179qne0zw0o
8Oxford Union president-elect condemned for Charlie Kirk comments,https://www.bbc.com/news/articles/c04qz5lk6ggo
9Charlie Kirk: Conservative influencer who rallied a youth movement,https://www.bbc.com/news/articles/cdxqnkwerj7o
10Ex-senator's wife sentenced to more than four years in bribery scheme,https://www.bbc.com/news/articles/c5yj6zn22n5o
News,https://www.bbc.com/news
